MI_dir_L5_weight,MI_dir_L5_mean,MI_dir_L5_variance,MI_dir_L3_weight,MI_dir_L3_mean,MI_dir_L3_variance,MI_dir_L1_weight,MI_dir_L1_mean,MI_dir_L1_variance,MI_dir_L0.1_weight,MI_dir_L0.1_mean,MI_dir_L0.1_variance,MI_dir_L0.01_weight,MI_dir_L0.01_mean,MI_dir_L0.01_variance,H_L5_weight,H_L5_mean,H_L5_variance,H_L3_weight,H_L3_mean,H_L3_variance,H_L1_weight,H_L1_mean,H_L1_variance,H_L0.1_weight,H_L0.1_mean,H_L0.1_variance,H_L0.01_weight,H_L0.01_mean,H_L0.01_variance,HH_L5_weight,HH_L5_mean,HH_L5_std,HH_L5_magnitude,HH_L5_radius,HH_L5_covariance,HH_L5_pcc,HH_L3_weight,HH_L3_mean,HH_L3_std,HH_L3_magnitude,HH_L3_radius,HH_L3_covariance,HH_L3_pcc,HH_L1_weight,HH_L1_mean,HH_L1_std,HH_L1_magnitude,HH_L1_radius,HH_L1_covariance,HH_L1_pcc,HH_L0.1_weight,HH_L0.1_mean,HH_L0.1_std,HH_L0.1_magnitude,HH_L0.1_radius,HH_L0.1_covariance,HH_L0.1_pcc,HH_L0.01_weight,HH_L0.01_mean,HH_L0.01_std,HH_L0.01_magnitude,HH_L0.01_radius,HH_L0.01_covariance,HH_L0.01_pcc,HH_jit_L5_weight,HH_jit_L5_mean,HH_jit_L5_variance,HH_jit_L3_weight,HH_jit_L3_mean,HH_jit_L3_variance,HH_jit_L1_weight,HH_jit_L1_mean,HH_jit_L1_variance,HH_jit_L0.1_weight,HH_jit_L0.1_mean,HH_jit_L0.1_variance,HH_jit_L0.01_weight,HH_jit_L0.01_mean,HH_jit_L0.01_variance,HpHp_L5_weight,HpHp_L5_mean,HpHp_L5_std,HpHp_L5_magnitude,HpHp_L5_radius,HpHp_L3_weight,HpHp_L3_mean,HpHp_L3_std,HpHp_L3_magnitude,HpHp_L3_radius,HpHp_L1_weight,HpHp_L1_mean,HpHp_L1_std,HpHp_L1_magnitude,HpHp_L1_radius,HpHp_L1_covariance,HpHp_L0.1_weight,HpHp_L0.1_mean,HpHp_L0.1_std,HpHp_L0.1_magnitude,HpHp_L0.1_radius,HpHp_L0.1_covariance,HpHp_L0.01_weight,HpHp_L0.01_mean,HpHp_L0.01_std,HpHp_L0.01_magnitude,HpHp_L0.01_radius,HpHp_L0.01_covariance,HpHp_L0.01_pcc,label
1.242570044,60.00000044,1.32e-05,1.53535693,60.00068886,0.020665391,2.736687574,60.74768815,21.87150515,8.246505221,68.25745937,172.5393222,30.1875005,74.49241664,947.0937104,1.242570044,60.00000044,1.32e-05,1.53535693,60.00068886,0.020665391,2.736687574,60.74768815,21.87150515,8.246505221,68.25745937,172.5393222,30.1875005,74.49241664,947.0937104,1.032417339,60.0,6.74e-07,60.0,4.55e-13,0.0,0.0,1.143109592,60.0,6.74e-07,60.0,4.55e-13,0.0,0.0,1.936439282,60.0,6.74e-07,60.0,4.55e-13,0.0,0.0,4.372658188,60.0,1.35e-06,60.0,1.82e-12,0.0,0.0,7.180157143,60.0,6.74e-07,60.0,4.55e-13,0.0,0.0,1.032417339,0.99878607,0.029126099,1.143109592,1.036961871,6.820098912,1.936439282,6.787922237,1010.760378,4.372658188,32.25771637,4663.221022,7.180157143,34.69319365,4942.864956,1.032417339,60.0,6.74e-07,60.0,4.55e-13,1.143109592,60.0,6.74e-07,60.0,4.55e-13,1.936439282,60.0,6.74e-07,60.0,4.55e-13,0.0,4.372658188,60.0,1.35e-06,60.0,1.82e-12,0.0,7.201031721,60.0,0.0,60.0,0.0,0.0,0.0,benign
1.004765539,67.48928188,465.4165499,1.040445219,78.20611964,3683.73221,1.343260151,146.2401851,18756.93187,2.495025349,200.2463136,24320.53299,12.38833412,192.5332772,25200.84813,1.004765539,67.48928188,465.4165499,1.040445219,78.20611964,3683.73221,1.343260151,146.2401851,18756.93187,2.495025349,200.2463136,24320.53299,12.38833412,192.5332772,25200.84813,1.004765539,67.48928188,21.57351501,480.7606506,465.4165499,0.0,0.0,1.040445219,78.20611964,60.69375758,482.381796,3683.73221,-5.65e-210,0.0,1.343259411,146.2402326,136.9559714,497.9580318,18756.93811,-0.000189132,-6.68e-05,2.247340852,215.7031757,156.8256076,508.6226365,24628.66271,-937.8459341,-0.165790564,9.451554443,233.7139144,160.8651188,408.5980437,40446.26821,-1332.30616,-0.046975309,1.004765539,1.648209593,2.339139797,1.040445219,2.40796506,18.51409155,1.343259411,7.231150373,94.27064125,2.247340852,14.67923845,271.2703491,9.451554443,17.68487195,469.1543577,1.004765539,67.48928188,21.57351501,480.7606506,465.4165499,1.040445219,78.20611964,60.69375758,482.381796,3683.73221,1.343259411,146.2402326,136.9559714,497.9580318,18756.93811,-0.000189132,2.247340852,215.7031757,156.8256076,508.6226365,24628.66271,-937.8459341,9.451554443,233.7139144,160.8651188,408.5980437,40446.26821,-1332.30616,-0.046975309,benign
1.000000022,60.00000584,0.001576896,1.000033224,60.00897029,2.421898877,1.051031616,73.1095295,3367.713202,2.960355175,214.2983567,17649.44071,26.94495353,193.0633719,15485.00433,1.000000022,60.00000584,0.001576896,1.000033224,60.00897029,2.421898877,1.051031616,73.1095295,3367.713202,2.960355175,214.2983567,17649.44071,26.94495353,193.0633719,15485.00433,1.0,60.0,0.0,84.85281374,0.0,5.39e-112,0.0,1.0,60.0,0.0,84.85281374,0.0,2.72e-66,0.0,1.000000023,60.0,6.74e-07,84.85281374,6.43e-13,1.54e-20,3.39e-08,1.278185047,62.02787877,8.540907501,87.72113391,103.1786158,41.35285062,0.566801203,14.84275052,81.41067087,18.84644969,117.3619525,1998.311224,466.8071215,0.558549784,1.0,25.35159111,0.0,1.0,25.35159111,0.0,1.000000023,25.3515911,6.87e-09,1.278185047,23.76969116,31.0934719,14.84275052,10.51411135,131.7577474,1.0,60.0,0.0,84.85281374,0.0,1.0,60.0,0.0,84.85281374,0.0,1.000000023,60.0,6.74e-07,84.85281374,6.43e-13,5.0400000000000004e-29,1.209974407,60.0,1.17e-06,84.85281374,1.64e-12,-4.89e-29,6.429324788,60.0,6.74e-07,84.85281374,6.43e-13,-6.89e-30,-1.52e-17,benign
5.170444492,117.4772711,7571.998405,7.471058994,111.4559293,6692.72139,14.34191875,102.5938694,5294.487321,31.51502251,95.21457502,3491.265743,117.7108186,88.69218214,7823.462523,5.170444492,117.4772711,7571.998405,7.471058994,111.4559293,6692.72139,14.34191875,102.5938694,5294.487321,31.51502251,95.21457502,3491.265743,117.7108186,88.69218214,7823.462523,2.043383549,71.72325575,6.979420094,125.3971527,66.52130659,-0.411853235,-0.008767352,2.583947286,72.58881324,11.41925134,126.0518737,312.4647425,0.7951496,0.004132251,5.300552974,75.98478977,21.30493821,130.2329196,1079.961748,61.56146972,0.092305567,17.17003138,85.00629883,30.85283482,134.3909518,1208.036123,82.47546198,0.098016859,83.92247532,90.02106768,98.53310564,131.4738928,10343.96585,-36.55204984,-0.006209544,2.043383549,0.375429673,0.152210973,2.583947286,0.376556351,0.250162387,5.300552974,0.458056999,0.75101867,17.17003138,0.917832828,1.576629522,83.92247532,3255.062898,4898380000000.0,1.027247076,66.0,1.91e-06,188.9047379,4.58e-08,1.139984332,66.00000008,0.000979576,188.9047223,0.001235086,1.799678918,66.01329638,0.399223981,188.4838974,33.4038948,-0.008523939,5.39763953,70.17029186,5.714207567,141.6051416,1120.647001,-142.7619906,25.25317072,68.71879197,7.471558947,123.5418669,2622.77898,16.99768582,0.044426993,benign
2.999877751,101.9999999,2.07e-07,2.999962339,101.9999524,0.000190466,3.032906651,101.9565683,0.171840712,4.290785622,100.0638856,48.81622847,30.24621457,92.98044733,271.579526,2.999877751,101.9999999,2.07e-07,2.999962339,101.9999524,0.000190466,3.032906651,101.9565683,0.171840712,4.290785622,100.0638856,48.81622847,30.24621457,92.98044733,271.579526,1.0,102.0,0.0,144.2497834,0.0,0.0,0.0,1.0,102.0,0.0,144.2497834,0.0,0.0,0.0,1.0,102.0,0.0,144.2497834,1.82e-12,2.5400000000000002e-86,0.0,1.071748407,102.0,0.0,144.2497834,3.64e-12,1.36e-65,0.0,4.220497696,102.0,2.34e-06,144.2497834,5.75e-12,1.0500000000000001e-29,3.33e-18,1.0,39.0241971,0.0,1.0,39.0241971,0.0,1.0,39.0241971,2.27e-13,1.071748407,39.00891038,0.004415263,4.220497696,39.01319668,0.074935814,1.0,102.0,0.0,144.2497834,0.0,1.0,102.0,0.0,144.2497834,0.0,1.0,102.0,0.0,144.2497834,1.82e-12,2.5400000000000002e-86,1.071748407,102.0,0.0,144.2497834,3.64e-12,1.36e-65,4.220497696,102.0,2.34e-06,144.2497834,5.75e-12,1.0500000000000001e-29,3.33e-18,benign
1.666014459,101.2881492,1930.679977,1.870789824,103.2610202,1965.123458,2.710705907,96.40978349,1819.932258,10.83617217,74.65015648,747.3050606,98.95696403,70.8905697,399.0374551,1.666014459,101.2881492,1930.679977,1.870789824,103.2610202,1965.123458,2.710705907,96.40978349,1819.932258,10.83617217,74.65015648,747.3050606,98.95696403,70.8905697,399.0374551,1.666014392,101.2881508,43.9395037,155.805424,1930.878511,-15.38566565,-0.066545137,1.870740184,103.2621679,44.3297412,154.8072445,1971.059642,-72.65978115,-0.132586355,2.670204425,96.95359003,42.75158906,142.015664,1880.756805,-13.92806548,-0.015468623,8.682876303,77.33910133,29.82830809,122.5495048,957.300188,-11.99400005,-0.021393163,75.97584063,72.03397043,22.31741366,117.391607,600.2125088,10.56148201,0.025858178,1.666014392,0.597214577,0.386089034,1.870740184,0.717777947,0.743160884,2.670204425,1.164809697,2.434354409,8.682876303,1.89837301,3.948323097,75.97584063,1.92476368,3.836998441,1.653228524,101.5610651,43.99893758,156.4469557,1935.906508,1.7745315,105.282388,44.63528775,158.8879517,1992.308913,1.91941019,109.06136,44.95822144,161.3727691,2021.244147,-1.753472355,2.966305495,99.10830211,43.40031706,138.6854739,2003.218974,39.88235578,19.08042919,89.58638493,39.57849277,123.3770256,1693.453087,150.2756741,0.14968577,benign
4.986609012,102.0,1.82e-12,4.991948204,102.0,8.55e-11,4.997374178,101.999478,0.021865354,6.053378572,99.08135521,106.3551712,32.0560899,93.81614012,237.1731321,4.986609012,102.0,1.82e-12,4.991948204,102.0,8.55e-11,4.997374178,101.999478,0.021865354,6.053378572,99.08135521,106.3551712,32.0560899,93.81614012,237.1731321,1.0,102.0,0.0,144.2497834,0.0,0.0,0.0,1.0,102.0,0.0,144.2497834,0.0,0.0,0.0,1.0,102.0,0.0,144.2497834,0.0,0.0,0.0,1.071150485,102.0,0.0,144.2497834,3.64e-12,-1.5999999999999998e-30,0.0,4.218598531,102.0,1.91e-06,144.2497834,3.64e-12,-7.03e-29,0.0,1.0,39.128057,0.0,1.0,39.128057,0.0,1.0,39.128057,0.0,1.071150485,39.12145908,0.000615143,4.218598531,39.03392658,0.233688317,1.0,102.0,0.0,144.2497834,0.0,1.0,102.0,0.0,144.2497834,0.0,1.0,102.0,0.0,144.2497834,0.0,0.0,1.071150485,102.0,0.0,144.2497834,3.64e-12,-1.5999999999999998e-30,4.218598531,102.0,1.91e-06,144.2497834,3.64e-12,-7.03e-29,0.0,benign
4.999229969,72.00097572,216.0058534,4.999537968,72.00058541,216.0035121,5.002976562,71.99268792,215.9560509,8.71634463,69.12829457,184.4552863,40.832223,95.58846556,14426.4208,4.999229969,72.00097572,216.0058534,4.999537968,72.00058541,216.0035121,5.002976562,71.99268792,215.9560509,8.71634463,69.12829457,184.4552863,40.832223,95.58846556,14426.4208,1.999785186,75.00161128,14.99999991,96.04812176,224.9999974,0.0,0.0,1.999871106,75.00096677,14.99999997,96.04761848,224.9999991,0.0,0.0,1.999957059,75.00032245,15.0,96.04711535,224.9999999,-1.14e-167,0.0,2.182821352,76.25637821,14.94729119,97.03110439,223.4215138,-1.54e-09,-4.88e-07,5.458836743,83.89927412,12.074888,103.2365474,145.8032026,0.340024728,0.052564415,1.999785186,12.6060433,158.9449083,1.999871106,12.606585,158.9449095,1.999957059,12.60712711,158.9449206,2.182821352,15.23648043,221.2474914,5.458836743,30.31151982,312.4954413,1.999785186,75.00161128,14.99999991,96.04812176,224.9999974,1.999871106,75.00096677,14.99999997,96.04761848,224.9999991,1.999957059,75.00032245,15.0,96.04711535,224.9999999,-1.3e-169,2.182821352,76.25637821,14.94729119,97.03110439,223.4215138,-2.19e-09,5.458836743,83.89927412,12.074888,103.2365474,145.8032026,0.210598673,0.032556444,benign
43.58309205,170.5691738,53453.29503,50.24580926,169.5189632,52666.3441,59.11552361,167.0541779,51330.52392,80.1308832,150.1370056,45628.12127,128.9029167,130.6431817,39999.11165,43.58309205,170.5691738,53453.29503,50.24580926,169.5189632,52666.3441,59.11552361,167.0541779,51330.52392,80.1308832,150.1370056,45628.12127,128.9029167,130.6431817,39999.11165,43.11066711,171.7808376,232.1715273,310.0638649,103111.6139,-10265.36758,-0.149132116,49.53079524,171.0999513,230.7617265,312.1572852,107195.6017,-13654.17394,-0.193991182,57.40301457,170.2478842,229.1501068,314.6671187,111838.8997,-18118.64768,-0.251621169,63.61987348,166.3027529,225.3596431,312.0882802,111533.5898,-16395.10409,-0.230868201,75.00347967,151.3723348,211.3231705,293.0160447,100723.4595,-3064.04052,-0.048255372,43.11066711,0.302139851,8.261241397,49.53079524,0.358118226,9.791168543,57.40301457,0.422760122,2709259.972,63.61987348,2279116.72,3426370000000000.0,75.00347967,15885762.79,2.37e+16,5.904229128,175.3467912,242.31658,332.6946889,88336.06142,5.942171776,175.7436363,242.6539341,332.1450134,88370.04749,5.980600875,176.1375193,242.9874016,331.5956784,88402.18546,13883.37929,5.998054512,176.313786,243.1361895,331.3485856,88416.0418,14090.53277,5.999805395,176.3313789,243.1510248,331.32388,88417.4067,14111.31758,0.22634235,benign
2.007506504,446.9723794,1194.598667,2.063677593,436.6623568,5041.417752,2.472932106,375.1141554,23450.78264,5.547358915,250.4714328,33259.70712,29.71396544,285.0600404,31886.4234,2.007506504,446.9723794,1194.598667,2.063677593,436.6623568,5041.417752,2.472932106,375.1141554,23450.78264,5.547358915,250.4714328,33259.70712,29.71396544,285.0600404,31886.4234,1.996882298,449.0312257,19.99997562,449.0312257,399.999025,0.0,0.0,1.998128211,449.0187354,19.99999122,449.0187354,399.999649,0.0,0.0,1.999375683,449.0062452,19.99999903,449.0062452,399.999961,0.0,0.0,2.428510977,450.294756,20.08146444,450.294756,403.2652139,0.0,0.0,14.9787542,455.3542577,19.59298201,455.3542577,383.884944,0.0,0.0,1.996882298,14.9761383,224.959088,1.998128211,14.98550516,224.9594389,1.999375683,14.99487202,224.9596144,2.428510977,14.11680639,224.1819811,14.9787542,10.66759114,206.1962863,1.996882298,449.0312257,19.99997562,449.0312257,399.999025,1.998128211,449.0187354,19.99999122,449.0187354,399.999649,1.999375683,449.0062452,19.99999903,449.0062452,399.999961,0.0,2.428510977,450.294756,20.08146444,450.294756,403.2652139,0.0,14.9787542,455.3542577,19.59298201,455.3542577,383.884944,0.0,0.0,benign
